year,match_id,stadium_name,city,country,latitude,longitude,elevation_m,team,opponent,team_elo,opp_elo,elo_diff,adapted_flag,rest_days,travel_km,temp_c,humidity,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h,team_xg_1h,team_xg_2h
2022.0,320,38,-1,-1,47.37901293562171,43.64820146373024,48.76801907934731,2,20,2050.0000000000005,2050.0,50.6337668133036,0,5.0,23.325771979688227,19.87931210982216,63.657634207269865,1.0,1.0,0.0,1.0,6.275962934,14.712479982
2022.0,320,38,-1,-1,42.82858024748369,43.92021197092007,39.301409357140614,20,2,2050.0,2050.0000000000005,-45.68166169502134,0,4.0,33.27095097369621,20.923485370187393,62.91179616415185,0.0,1.0,1.0,1.0,4.883144214,10.072713969
2022.0,321,36,4,2,25.3108807,51.5081812,19.0,13,32,2050.0000000000005,2050.0,70.48365527723698,0,4.0,29.37049849217226,25.0,60.0,2.0,0.0,1.0,0.0,2.843158396,10.3265440029
2022.0,321,36,4,2,25.3108807,51.5081812,19.0,32,13,2050.0,2050.0,-67.32282732942146,0,3.0,52.80999820276664,25.0,60.0,1.0,0.0,2.0,0.0,2.221128018,6.457241924
2022.0,332,1,0,2,25.7567822,51.3269839,28.0,20,32,1976.5596699990376,1768.6961528084064,107.29505901696315,0,4.0,0.0,25.0,60.0,1.0,1.0,0.0,0.0,4.883144214,10.072713969
2022.0,332,1,0,2,25.7567822,51.3269839,28.0,32,20,1808.3524318416976,1978.8400080542126,-100.35603270265716,0,4.0,52.80999820276664,25.0,60.0,0.0,0.0,1.0,1.0,2.221128018,6.457241924
2022.0,343,38,-1,-1,25.28004521046027,51.46106798311482,22.771587547259642,2,13,2050.0,2049.9999999999995,34.438579533277036,0,4.0,36.00480206576044,25.0,60.0,1.0,1.0,0.0,0.0,6.275962934,14.712479982
2022.0,343,38,-1,-1,25.3108807,51.508181199999996,19.0,13,2,2050.0,2050.0,-29.14074578404633,0,4.0,29.649482109648407,25.0,60.0,0.0,0.0,1.0,1.0,2.843158396,10.3265440029
2022.0,354,3,4,2,25.3108807,51.5081812,19.0,32,40,1848.5125836912614,1785.3014744833392,100.03593399382277,0,4.0,43.43267385096884,25.0,60.0,1.0,0.0,0.0,0.0,2.221128018,6.457241924
2022.0,354,3,4,2,25.3108807,51.5081812,19.0,40,32,1783.9820324872917,1957.161633217085,-95.28907551124733,0,4.0,38.367423076845704,25.0,60.0,0.0,0.0,1.0,0.0,2.8245293997,4.4881810286
2022.0,365,1,0,2,25.7567822,51.3269839,28.0,19,20,2050.0,1828.709845216458,525.844873004305,0,6.0,0.0,25.0,60.0,0.0,0.0,1.0,1.0,2.342743325,6.393112874
2022.0,365,1,0,2,25.7567822,51.3269839,28.0,20,19,1939.250788665707,2050.0,-524.2073629167314,0,6.0,52.80999820276664,25.0,60.0,1.0,1.0,0.0,0.0,4.883144214,10.072713969
2022.0,376,16,1,2,25.0819602,51.158416,47.0,13,6,1952.8635199744042,2050.0,-19.848294093428926,0,4.0,26.82747328383305,25.0,60.0,0.0,1.0,0.0,1.0,2.843158396,10.3265440029
2022.0,376,16,1,2,25.0819602,51.158416,47.0,6,13,2050.0,1964.1444120738634,24.524561550251256,0,4.0,26.447567246232246,25.0,60.0,0.0,1.0,0.0,1.0,4.0432355797,9.5933574015
2022.0,381,38,-1,-1,25.271580881435536,51.448135424719226,23.806886756777878,33,2,1851.8187233983788,2050.0,-77.30510869803005,0,6.0,31.673637271581587,25.000000000000004,60.00000000000001,0.0,2.0,1.0,0.0,1.612287024,7.299000016000001
2022.0,381,38,-1,-1,25.269825754664534,51.445453785171516,24.021561936973438,2,33,2050.0,1851.533653311527,79.83280938520633,0,6.0,36.42693586762639,25.000000000000004,60.0,1.0,0.0,0.0,2.0,6.275962934,14.712479982
2022.0,382,16,1,2,25.0819602,51.158416,47.0,32,51,1819.0500921169767,1664.4318413511467,92.8673831275302,0,5.0,43.43267385096884,25.0,60.0,0.0,0.0,0.0,0.0,2.221128018,6.457241924
2022.0,382,16,1,2,25.0819602,51.158416,47.0,51,32,1654.7174097436812,1919.5733835078613,-91.03256411404347,0,5.0,43.43267385096884,25.0,60.0,0.0,0.0,0.0,0.0,2.5676409810000003,4.5369862764
2022.0,383,38,-1,-1,25.12299384978857,51.22111087758865,41.98104278961461,40,53,1819.317337525729,1794.7179220195558,43.359460043562706,0,4.0,39.6852257474653,25.000000000000004,60.00000000000001,2.0,4.0,0.0,1.0,2.8245293997,4.4881810286
2022.0,383,38,-1,-1,25.12233152002022,51.22009891097188,42.062054466218,53,40,1794.2607118624962,1917.291324066464,-43.050412413678025,0,4.0,30.08557730929354,25.0,60.00000000000001,0.0,1.0,2.0,4.0,2.672125062,3.418391293
2022.0,322,2,2,2,25.0037453,51.4103338,14.0,28,13,1822.3153072618038,2050.0,-83.40474745734318,0,4.0,35.54344686853213,25.0,60.0,1.0,0.0,0.0,1.0,0.972714699,6.410855815
2022.0,322,2,2,2,25.0037453,51.4103338,14.0,13,28,2050.0,1927.4103768331995,87.71976376132626,0,4.0,17.121195725100083,25.0,60.0,0.0,1.0,1.0,0.0,2.843158396,10.3265440029
2022.0,323,66,-1,-1,42.59877714691371,45.019548798743536,41.502469139299066,6,30,2050.0,2050.0,45.17967722299588,0,3.0,40.80557712537541,20.98564218093473,62.867398442189476,3.0,0.0,0.0,1.0,4.0432355797,9.5933574015
2022.0,323,66,-1,-1,42.585700298703834,45.0473270595717,41.5418888272319,30,6,2050.0,2049.9999999999995,-44.11492825560386,-1,3.0,335.70711391362227,20.98887725402987,62.86508767569294,0.0,1.0,3.0,0.0,1.2987681624397933,2.2498236505727696
2022.0,324,3,4,2,25.3108807,51.5081812,19.0,20,39,1988.6455150456504,1798.4813202736589,148.21451382937053,0,4.0,43.43267385096884,25.0,60.0,1.0,2.0,0.0,0.0,4.883144214,10.072713969
2022.0,324,3,4,2,25.3108807,51.5081812,19.0,39,20,1796.0939018939434,2049.9999999999995,-146.3314613549005,0,4.0,39.30524561205984,25.0,60.0,0.0,0.0,1.0,2.0,1.107264075,3.555957007
