year,match_id,stadium_name,city,country,latitude,longitude,elevation_m,team,opponent,team_elo,opp_elo,elo_diff,adapted_flag,rest_days,travel_km,temp_c,humidity,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h,team_xg_1h,team_xg_2h
2022,2022_16,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Korea Republic,Portugal,NA,NA,NA,NA,4,0,25,60,1,1,1,0,NA,NA
2022,2022_16,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Portugal,Korea Republic,NA,NA,NA,FALSE,4,NA,25,60,1,0,1,1,2.8245293997,4.4881810286
2022,2022_17,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Ghana,Uruguay,NA,NA,NA,FALSE,4,26.827473283833054,25,60,0,0,2,0,1.586131237,1.7671220417
2022,2022_17,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Uruguay,Ghana,NA,NA,NA,FALSE,4,NA,25,60,2,0,0,0,2.173543028,1.0969908286
2022,2022_18,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Cameroon,Brazil,NA,NA,NA,FALSE,4,NA,NA,NA,0,1,0,0,1.5205349259999998,1.5462085242
2022,2022_18,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Brazil,Cameroon,NA,NA,NA,FALSE,4,NA,NA,NA,0,0,0,1,4.0432355797,9.5933574015
2022,2022_19,Stadium 974,NA,NA,NA,NA,NA,Serbia,Switzerland,NA,NA,NA,FALSE,4,NA,NA,NA,2,0,2,1,1.200804184,1.889593778
2022,2022_19,Stadium 974,NA,NA,NA,NA,NA,Switzerland,Serbia,NA,NA,NA,FALSE,4,NA,NA,NA,2,1,2,0,2.672125062,3.418391293
2022,2022_20,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,Canada,Morocco,NA,NA,NA,FALSE,4,0,25,60,0,0,2,0,2.067806789,1.86081874
2022,2022_20,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,Morocco,Canada,NA,NA,NA,FALSE,4,0,25,60,2,0,0,0,2.221128018,6.457241924
2022,2022_21,Ahmed bin Ali Stadium,NA,NA,NA,NA,NA,Croatia,Belgium,NA,NA,NA,FALSE,4,NA,NA,NA,0,0,0,0,2.843158396,10.3265440029
2022,2022_21,Ahmed bin Ali Stadium,NA,NA,NA,NA,NA,Belgium,Croatia,NA,NA,NA,FALSE,4,NA,NA,NA,0,0,0,0,1.264217617,2.4302754108
2022,2022_22,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,Costa Rica,Germany,NA,NA,NA,NA,4,NA,25,60,0,1,1,3,0.220108489,1.014003962
2022,2022_22,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,Germany,Costa Rica,NA,NA,NA,FALSE,4,0,25,60,1,3,0,1,2.4954951667,5.735582765
2022,2022_23,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,Japan,Spain,NA,NA,NA,FALSE,4,NA,25,60,0,2,1,0,0.972714699,6.410855815
2022,2022_23,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,Spain,Japan,NA,NA,NA,FALSE,4,52.80999820276664,25,60,1,0,0,2,2.5676409810000003,4.5369862764
2022,2022_24,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Australia,Denmark,NA,NA,NA,FALSE,4,0,25,60,0,1,0,0,0.6613009567,0.916870549
2022,2022_24,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Denmark,Australia,NA,NA,NA,FALSE,4,NA,25,60,0,0,0,1,0.561165611,2.631091621
2022,2022_25,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Tunisia,France,NA,NA,NA,FALSE,4,26.827473283833054,25,60,0,1,0,0,1.337193666,1.073258783
2022,2022_25,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,France,Tunisia,NA,NA,NA,FALSE,4,NA,25,60,0,0,0,1,4.883144214,10.072713969
2022,2022_26,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Saudi Arabia,Mexico,NA,NA,NA,NA,4,NA,NA,NA,0,1,0,2,1.379370686,1.822178582
2022,2022_26,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Mexico,Saudi Arabia,NA,NA,NA,FALSE,4,NA,NA,NA,0,2,0,1,1.4454907589,1.6121591520999998
2022,2022_27,Stadium 974,NA,NA,NA,NA,NA,Poland,Argentina,NA,NA,NA,FALSE,4,NA,NA,NA,0,0,0,2,1.107264075,3.555957007
2022,2022_27,Stadium 974,NA,NA,NA,NA,NA,Argentina,Poland,NA,NA,NA,FALSE,4,NA,NA,NA,0,2,0,0,6.275962934,14.712479982
2022,2022_28,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,Ecuador,Senegal,NA,NA,NA,FALSE,4,0,25,60,0,1,0,1,1.172035751,2.6346926394
2022,2022_28,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,Senegal,Ecuador,NA,NA,NA,FALSE,4,0,25,60,0,1,0,1,2.8067435545,1.467984917
2022,2022_29,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,Netherlands,Qatar,NA,NA,NA,FALSE,4,52.80999820276664,25,60,1,1,0,0,1.612287024,7.299000016000001
2022,2022_29,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,Qatar,Netherlands,NA,NA,NA,FALSE,4,52.80999820276664,25,60,0,0,1,1,0.1482584495,1.259733249
2022,2022_30,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,IR Iran,United States,NA,NA,NA,NA,4,NA,25,60,0,0,1,0,NA,NA
2022,2022_30,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,United States,IR Iran,NA,NA,NA,NA,4,52.80999820276664,25,60,1,0,0,0,2.2389452326,1.699592709
2022,2022_31,Ahmed bin Ali Stadium,NA,NA,NA,NA,NA,Wales,England,1439,2050,-611,FALSE,4,NA,NA,NA,0,0,0,3,0.384377818,1.834602883
2022,2022_31,Ahmed bin Ali Stadium,NA,NA,NA,NA,NA,England,Wales,2050,1439,611,FALSE,4,NA,NA,NA,0,3,0,0,2.342743325,6.393112874
2022,2022_32,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Cameroon,Serbia,NA,NA,NA,FALSE,4,0,25,60,1,2,2,1,1.5205349259999998,1.5462085242
2022,2022_32,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Serbia,Cameroon,NA,NA,NA,FALSE,4,NA,25,60,2,1,1,2,1.200804184,1.889593778
2022,2022_33,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Korea Republic,Ghana,NA,NA,NA,NA,4,0,25,60,0,2,2,1,NA,NA
2022,2022_33,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Ghana,Korea Republic,NA,NA,NA,FALSE,4,NA,25,60,2,1,0,2,1.586131237,1.7671220417
2022,2022_34,Stadium 974,NA,NA,NA,NA,NA,Brazil,Switzerland,NA,NA,NA,FALSE,4,NA,NA,NA,0,1,0,0,4.0432355797,9.5933574015
2022,2022_34,Stadium 974,NA,NA,NA,NA,NA,Switzerland,Brazil,NA,NA,NA,FALSE,4,NA,NA,NA,0,0,0,1,2.672125062,3.418391293
2022,2022_35,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Portugal,Uruguay,NA,NA,NA,FALSE,4,NA,NA,NA,0,1,0,0,2.8245293997,4.4881810286
2022,2022_35,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Uruguay,Portugal,NA,NA,NA,FALSE,4,NA,NA,NA,0,0,0,1,2.173543028,1.0969908286
2022,2022_36,Ahmed bin Ali Stadium,NA,NA,NA,NA,NA,Japan,Costa Rica,NA,NA,NA,FALSE,4,NA,NA,NA,0,0,0,1,0.972714699,6.410855815
2022,2022_36,Ahmed bin Ali Stadium,NA,NA,NA,NA,NA,Costa Rica,Japan,NA,NA,NA,NA,4,NA,NA,NA,0,1,0,0,0.220108489,1.014003962
2022,2022_37,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,Belgium,Morocco,NA,NA,NA,FALSE,4,NA,25,60,0,0,0,2,1.264217617,2.4302754108
2022,2022_37,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,Morocco,Belgium,NA,NA,NA,FALSE,4,52.80999820276664,25,60,0,2,0,0,2.221128018,6.457241924
2022,2022_38,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,Croatia,Canada,NA,NA,NA,FALSE,4,52.80999820276664,25,60,2,2,1,0,2.843158396,10.3265440029
2022,2022_38,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,Canada,Croatia,NA,NA,NA,FALSE,4,NA,25,60,1,0,2,2,2.067806789,1.86081874
2022,2022_39,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,Spain,Germany,NA,NA,NA,FALSE,4,52.80999820276664,25,60,0,1,0,1,2.5676409810000003,4.5369862764
2022,2022_39,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,Germany,Spain,NA,NA,NA,FALSE,4,52.80999820276664,25,60,0,1,0,1,2.4954951667,5.735582765
2022,2022_40,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Tunisia,Australia,NA,NA,NA,FALSE,4,26.827473283833054,25,60,0,0,1,0,1.337193666,1.073258783
2022,2022_40,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Australia,Tunisia,NA,NA,NA,FALSE,4,0,25,60,1,0,0,0,0.6613009567,0.916870549
2022,2022_41,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Poland,Saudi Arabia,NA,NA,NA,FALSE,4,NA,25,60,1,1,0,0,1.107264075,3.555957007
