year,match_id,team,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h
2018,2018_76,Spain,0,0,0,0
2018,2018_76,Russia,0,0,0,0
2018,2018_77,Croatia,1,0,1,0
2018,2018_77,Denmark,1,0,1,0
2018,2018_78,France,0,3,1,2
2018,2018_78,Argentina,1,2,0,3
2018,2018_79,Uruguay,1,1,0,1
2018,2018_79,Portugal,0,1,1,1
2018,2018_80,Japan,0,0,0,1
2018,2018_80,Poland,0,1,0,0
2018,2018_81,Senegal,0,0,0,1
2018,2018_81,Colombia,0,1,0,0
2018,2018_82,England,0,0,0,1
2018,2018_82,Belgium,0,1,0,0
2018,2018_83,Panama,0,0,0,2
2018,2018_83,Tunisia,0,2,0,0
2018,2018_84,Korea Republic,0,2,0,0
2018,2018_84,Germany,0,0,0,2
2018,2018_85,Mexico,0,0,0,1
2018,2018_85,Sweden,0,1,0,0
2018,2018_86,Switzerland,1,1,0,1
2018,2018_86,Costa Rica,0,1,1,1
2018,2018_87,Serbia,0,0,1,1
2018,2018_87,Brazil,1,1,0,0
2018,2018_88,Australia,0,0,1,1
2018,2018_88,Peru,1,1,0,0
2018,2018_89,Denmark,0,0,0,0
2018,2018_89,France,0,0,0,0
2018,2018_90,Iceland,0,0,0,2
2018,2018_90,Croatia,0,2,0,0
2018,2018_91,Nigeria,0,0,1,1
2018,2018_91,Argentina,1,1,0,0
2018,2018_92,Saudi Arabia,0,1,1,0
2018,2018_92,Egypt,1,0,0,1
2018,2018_93,Uruguay,1,1,0,0
2018,2018_93,Russia,0,0,1,1
2018,2018_94,Spain,1,1,1,1
2018,2018_94,Morocco,1,1,1,1
2018,2018_95,IR Iran,0,0,1,0
2018,2018_95,Portugal,1,0,0,0
2018,2018_96,England,3,1,0,1
2018,2018_96,Panama,0,1,3,1
2018,2018_97,Japan,1,1,1,1
2018,2018_97,Senegal,1,1,1,1
2018,2018_98,Poland,0,0,1,2
2018,2018_98,Colombia,1,2,0,0
2018,2018_99,Belgium,2,2,1,1
2018,2018_99,Tunisia,1,1,2,2
2018,2018_100,Korea Republic,0,1,0,1
2018,2018_100,Mexico,0,1,0,1
2018,2018_101,Germany,0,2,1,0
2018,2018_101,Sweden,1,0,0,2
2018,2018_102,Brazil,0,2,0,0
2018,2018_102,Costa Rica,0,0,0,2
2018,2018_103,Nigeria,0,2,0,0
2018,2018_103,Iceland,0,0,0,2
2018,2018_104,Serbia,1,0,0,2
2018,2018_104,Switzerland,0,2,1,0
2018,2018_105,Denmark,1,0,0,0
2018,2018_105,Australia,0,0,1,0
2018,2018_106,France,1,0,0,0
2018,2018_106,Peru,0,0,1,0
2018,2018_107,Argentina,0,0,0,3
2018,2018_107,Croatia,0,3,0,0
2018,2018_108,Portugal,1,0,0,0
2018,2018_108,Morocco,0,0,1,0
2018,2018_109,Uruguay,1,0,0,0
2018,2018_109,Saudi Arabia,0,0,1,0
2018,2018_110,IR Iran,0,0,0,1
2018,2018_110,Spain,0,1,0,0
2018,2018_111,Colombia,1,0,0,1
2018,2018_111,Japan,0,1,1,0
2018,2018_112,Poland,0,1,0,1
2018,2018_112,Senegal,0,1,0,1
2018,2018_113,Russia,0,2,0,0
2018,2018_113,Egypt,0,0,0,2
2018,2018_114,Sweden,0,0,0,0
2018,2018_114,Korea Republic,0,0,0,0
2018,2018_115,Belgium,0,3,0,0
2018,2018_115,Panama,0,0,0,3
2018,2018_116,Tunisia,0,0,1,1
2018,2018_116,England,1,1,0,0
2018,2018_117,Costa Rica,0,0,0,1
2018,2018_117,Serbia,0,1,0,0
2018,2018_118,Germany,0,0,1,0
2018,2018_118,Mexico,1,0,0,0
2018,2018_119,Brazil,1,0,0,1
2018,2018_119,Switzerland,0,1,1,0
2018,2018_120,France,0,0,0,0
2018,2018_120,Australia,0,0,0,0
2018,2018_121,Argentina,1,0,1,0
2018,2018_121,Iceland,1,0,1,0
2018,2018_122,Peru,0,0,0,1
2018,2018_122,Denmark,0,1,0,0
2018,2018_123,Croatia,0,0,0,0
2018,2018_123,Nigeria,0,0,0,0
2018,2018_124,Egypt,0,0,0,1
2018,2018_124,Uruguay,0,1,0,0
2018,2018_125,Morocco,0,0,0,0
2018,2018_125,IR Iran,0,0,0,0
2018,2018_126,Portugal,1,1,1,2
2018,2018_126,Spain,1,2,1,1
2018,2018_127,Russia,2,3,0,0
2018,2018_127,Saudi Arabia,0,0,2,3
2014,2014_128,Germany,0,1,0,0
2014,2014_128,Argentina,0,0,0,1
2014,2014_129,Brazil,0,0,1,1
2014,2014_129,Netherlands,1,1,0,0
2014,2014_130,Netherlands,0,0,0,0
2014,2014_130,Argentina,0,0,0,0
2014,2014_131,Brazil,0,1,5,2
2014,2014_131,Germany,5,2,0,1
2014,2014_132,Argentina,1,0,0,0
2014,2014_132,Belgium,0,0,1,0
2014,2014_133,Netherlands,0,0,0,0
2014,2014_133,Costa Rica,0,0,0,0
2014,2014_134,France,0,0,1,0
2014,2014_134,Germany,1,0,0,0
2014,2014_135,Brazil,1,1,0,0
2014,2014_135,Colombia,0,0,1,1
2014,2014_136,Argentina,0,1,0,0
2014,2014_136,Switzerland,0,0,0,1
2014,2014_137,Belgium,0,2,0,1
2014,2014_137,United States,0,1,0,2
2014,2014_138,France,0,1,0,0
2014,2014_138,Nigeria,0,0,0,1
2014,2014_139,Germany,0,2,0,1
2014,2014_139,Algeria,0,1,0,2
2014,2014_140,Netherlands,0,1,0,1
2014,2014_140,Mexico,0,1,0,1
2014,2014_141,Costa Rica,0,1,0,1
2014,2014_141,Greece,0,1,0,1
2014,2014_142,Brazil,1,0,1,0
2014,2014_142,Chile,1,0,1,0
2014,2014_143,Colombia,1,1,0,0
2014,2014_143,Uruguay,0,0,1,1
