year,match_id,team,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h
2002,2002_329,Korea Republic,0,2,1,0
2002,2002_329,Italy,1,0,0,2
2002,2002_330,Mexico,0,0,1,1
2002,2002_330,United States,1,1,0,0
2002,2002_331,Brazil,0,2,0,0
2002,2002_331,Belgium,0,0,0,2
2002,2002_332,Sweden,1,0,1,1
2002,2002_332,Senegal,1,1,1,0
2002,2002_333,Spain,1,0,0,0
2002,2002_333,Republic of Ireland,0,0,1,0
2002,2002_334,Germany,0,1,0,0
2002,2002_334,Paraguay,0,0,0,1
2002,2002_335,Denmark,0,0,3,0
2002,2002_335,England,3,0,0,0
2002,2002_336,Tunisia,0,0,0,2
2002,2002_336,Japan,0,2,0,0
2002,2002_337,Belgium,1,2,0,2
2002,2002_337,Russia,0,2,1,2
2002,2002_338,Portugal,0,0,0,1
2002,2002_338,Korea Republic,0,1,0,0
2002,2002_339,Poland,2,1,0,1
2002,2002_339,United States,0,1,2,1
2002,2002_340,Costa Rica,1,1,3,2
2002,2002_340,Brazil,3,2,1,1
2002,2002_341,Türkiye,2,1,0,0
2002,2002_341,China PR,0,0,2,1
2002,2002_342,Mexico,1,0,0,1
2002,2002_342,Italy,0,1,1,0
2002,2002_343,Ecuador,0,1,0,0
2002,2002_343,Croatia,0,0,0,1
2002,2002_344,Sweden,0,1,0,1
2002,2002_344,Argentina,0,1,0,1
2002,2002_345,Nigeria,0,0,0,0
2002,2002_345,England,0,0,0,0
2002,2002_346,South Africa,1,1,2,1
2002,2002_346,Spain,2,1,1,1
2002,2002_347,Slovenia,1,0,0,3
2002,2002_347,Paraguay,0,3,1,0
2002,2002_348,Denmark,1,1,0,0
2002,2002_348,France,0,0,1,1
2002,2002_349,Senegal,3,0,0,2
2002,2002_349,Uruguay,0,2,3,0
2002,2002_350,Saudi Arabia,0,0,1,2
2002,2002_350,Republic of Ireland,1,2,0,0
2002,2002_351,Cameroon,0,0,0,2
2002,2002_351,Germany,0,2,0,0
2002,2002_352,Korea Republic,0,1,1,0
2002,2002_352,United States,1,0,0,1
2002,2002_353,Tunisia,1,0,1,0
2002,2002_353,Belgium,1,0,1,0
2002,2002_354,Portugal,1,3,0,0
2002,2002_354,Poland,0,0,1,3
2002,2002_355,Mexico,1,1,1,0
2002,2002_355,Ecuador,1,0,1,1
2002,2002_356,Costa Rica,0,1,0,1
2002,2002_356,Türkiye,0,1,0,1
2002,2002_357,Japan,0,1,0,0
2002,2002_357,Russia,0,0,0,1
2002,2002_358,South Africa,1,0,0,0
2002,2002_358,Slovenia,0,0,1,0
2002,2002_359,Italy,0,1,0,2
2002,2002_359,Croatia,0,2,0,1
2002,2002_360,Brazil,2,1,0,0
2002,2002_360,China PR,0,0,2,1
2002,2002_361,Sweden,1,0,1,0
2002,2002_361,Nigeria,1,0,1,0
2002,2002_362,Spain,0,2,0,0
2002,2002_362,Paraguay,0,0,0,2
2002,2002_363,Argentina,0,0,0,0
2002,2002_363,England,0,0,0,0
2002,2002_364,Denmark,0,0,0,1
2002,2002_364,Senegal,0,1,0,0
2002,2002_365,Cameroon,0,1,0,0
2002,2002_365,Saudi Arabia,0,0,0,1
2002,2002_366,France,0,0,0,0
2002,2002_366,Uruguay,0,0,0,0
2002,2002_367,Russia,0,1,0,0
2002,2002_367,Tunisia,0,0,0,1
2002,2002_368,United States,2,0,1,0
2002,2002_368,Portugal,1,0,2,0
2002,2002_369,Germany,1,0,0,1
2002,2002_369,Republic of Ireland,0,1,1,0
2002,2002_370,China PR,0,0,0,2
2002,2002_370,Costa Rica,0,2,0,0
2002,2002_371,Japan,0,2,0,2
2002,2002_371,Belgium,0,2,0,2
2002,2002_372,Korea Republic,1,1,0,0
2002,2002_372,Poland,0,0,1,1
2002,2002_373,Croatia,0,0,0,0
2002,2002_373,Mexico,0,0,0,0
2002,2002_374,Brazil,0,1,1,0
2002,2002_374,Türkiye,1,0,0,1
2002,2002_375,Italy,2,0,0,0
2002,2002_375,Ecuador,0,0,2,0
2002,2002_376,Argentina,0,1,0,0
2002,2002_376,Nigeria,0,0,0,1
2002,2002_377,Paraguay,1,1,0,1
2002,2002_377,South Africa,0,1,1,1
2002,2002_378,England,1,0,0,1
2002,2002_378,Sweden,0,1,1,0
2002,2002_379,Spain,1,1,0,1
2002,2002_379,Slovenia,0,1,1,1
2002,2002_380,Republic of Ireland,0,1,1,0
2002,2002_380,Cameroon,1,0,0,1
2002,2002_381,Uruguay,0,1,1,1
2002,2002_381,Denmark,1,1,0,1
2002,2002_382,Germany,4,4,0,0
2002,2002_382,Saudi Arabia,0,0,4,4
2002,2002_383,France,0,0,1,0
2002,2002_383,Senegal,1,0,0,0
